REPORTER COUNTRY,PARTNER COUNTRY,YEAR,IMPORT (US DOLLAR),EXPORT (US DOLLAR),GDP (NIGERIA),GDP (PARTNER),POPULATION (NIGERIA),POPULATION (PARTNER),DISTANCE,EXCHANGE RATE (NIGERIA),EXCHANGE RATE (PARTNER),LANDLOCKED,COMMON OFFICIAL LANGUAGE
NIGERIA,Angola,2021,28003.46,208792.39,4.41E+11,66505129989,213401323,34503774,2464,401.15,631.44,0,0
NIGERIA,Angola,2020,2781703,487685.61,4.32E+11,48501561230,208327405,33428486,2464,358.81,578.26,0,0
NIGERIA,Angola,2019,5408964.14,88441.13,4.75E+11,70897962713,203304492,32353588,2464,306.92,364.83,0,0
NIGERIA,Angola,2018,6504165.42,,4.22E+11,79450688232,198387623,31273533,2464,306.08,252.86,0,0
NIGERIA,Angola,2017,6368959.06,52059.99,3.76E+11,73690155047,193495907,30208628,2464,305.79,165.92,0,0
NIGERIA,Angola,2016,,,4.05E+11,52761617226,188666931,29154746,2464,253.49,163.66,0,0
NIGERIA,Angola,2015,1091173.78,76585.24,4.93E+11,90496420626,183995785,28127721,2464,192.44,120.06,0,0
NIGERIA,Angola,2014,4183955,43522,5.74E+11,1.36E+11,179379016,27128337,2464,158.55,98.3,0,0
NIGERIA,Angola,2013,1194789,26989,5.20E+11,1.32E+11,174726123,26147002,2464,157.31,96.52,0,0
NIGERIA,Angola,2012,,,4.64E+11,1.28E+11,170075932,25188292,2464,157.5,95.47,0,0
NIGERIA,Angola,2011,840920,346195,4.14E+11,1.12E+11,165463745,24259111,2464,153.86,93.93,0,0
NIGERIA,Angola,2010,1619363,419210,3.67E+11,83799473760,160952853,23364185,2464,150.3,91.91,0,0
NIGERIA,Angola,2009,484900,366505,2.95E+11,70307196474,156595758,22507674,2464,148.88,79.33,0,0
NIGERIA,Angola,2008,,2933,3.39E+11,88538664884,152382506,21691522,2464,118.57,75.03,0,0
NIGERIA,Angola,2007,19958794,857376,2.78E+11,65266415707,148294028,20909684,2464,125.81,76.71,0,0
NIGERIA,Angola,2006,,,2.38E+11,52381025102,144329764,20162340,2464,128.65,80.37,0,0
NIGERIA,Angola,2005,,,1.76E+11,36970901024,140490722,19450959,2464,131.27,87.16,0,0
NIGERIA,Angola,2004,,,1.36E+11,23552057820,136756848,18771125,2464,132.89,83.54,0,0
